디스패치 측 장나라 김남길 결혼 기사 보도NO 조작된 것,뭔;; 김남길 김아중하고 사귐,none,none,뭐? 김남길과 김아정이 사귀고 있다.
2번 폭로 2번 사과 의료사고 한예슬의 고통 vs차병원의 약속,본인 본업에나 충실하지죠 모델 한예슬씨.,none,none,"나는 내 일에 충실할 것이다, 모델 한예슬"
너무 사랑하고 아낀다 비 김태희 둘째 임신까지 사랑꾼 부부,세븐걸린거 넌잘피해갓지. ㅋ다 그놈이그놈인데,gender,hate,네가 7살 미만이야 음. 그들은 모두 그 사람이다
동상이몽2 추자현 우효광 아기 돌 결혼식 함께 눈물의 결혼식 예고,팬을 투명인간 취급하는데도 아직도 빨아대는 사람들이 있네 근본이 노예라 당해야 안심이 되는거냐? 아님 개돼지라 다 잊은거냐?,others,hate,투명하게 대하는데도 팬들을 빨아먹는 사람들이 여전히 있다. 노예일 때 안전하게 느껴지나요? 아니면 개라는 이유로 이 모든 것을 잊었나요?
소속사서 퇴출 현아 이던 열애 인정이 불러온 후폭풍,칼같이 처리하는거 맘에드네 저런애들 달고다녀봐야 주변사람만 피곤하지,none,hate,나는 그것을 칼처럼 다루고 싶다 나는 그 아이들과 함께 놀고 있을 때 주변 사람들이 지쳐 있다
조인성 5년 전만 해도 교만 행복 뭔지 깨달았다.,자세히 보면 미남은 아니다,none,none,"자세히 말해서, 넌 잘생기지 않아"
그것이 알고싶다 고김성재 편 방송 불가 명예훼손 우려,20년이 넘었다 부모는 속이 타고 억울하겠지만 이젠 묻어둬야지 그렇다면 억울하게 죽은 사람이 얼마나 많을까? 30년 지난 화성사건은 피해가족들은?그땐 가해자도 되었지만 시간이 지난 오늘은 피해자가 될수있다,none,hate,20년 넘게 전에는 부모님이 화를 내겠지만 지금 묻어야 한다면 얼마나 많은 사람들이 부당하게 죽었을까. 30살 화성 사건? 당시 가해자는 시간이 지나면 오늘날 피해자가 될 수 있다.
나혼자산다 LA여행 중 한혜진 전현무 비밀연애 포착,여자들은 왜 똥싸면서 스마트폰으로 페북을보나요?,gender,hate,여성들은 왜 스마트폰으로 페이스북을 보는가?
태양 다시 만나요 청성부대 앞 배웅 팬들 운집,잘 다녀오는데. 아마 머리는 들어가면 다시 밀어야할 거다..,none,hate,난 괜찮을 거야. 어쩌면 내 머리를 뒤로 밀어야 할지도 모른다
폭행 상처 동영상 구하라 진흙탕 싸움 조짐,남자가 얼마나 속상했으면 저럴까... 같은 잘생기고 멋진 남자로서 이해한다,gender,none,남자가 얼마나 화가 났는지 궁금하다. 너를 잘생기고 멋진 남자로 이해한다
오달수 다 내 잘못 A씨 엄지영 변명 같지만 사과받아,계집이란 어차피 사내의 손을 타게되는것을.. 그리고 사내로 태어나서 계집질도 하는거지. 계집년 한두명때문에 대한민국 영화계 거물하나가 또 사라지는구나!,gender,hate,그 소녀는 어쨌든 그 남자의 손을 타려고 하는데... 그녀는 회사에서 태어나 여자친구가 있다. 한두 명의 소녀 때문에 한국 영화계의 또 다른 거대한 사람이 사라진다!
양세종 측 필로폰 투약 배우 양씨 아냐 현재 드라마 촬영 중,양배추 아닌가,none,none,어쩌면 배추일지도 몰라
고설리 부재 하에 지속 어려워 악플의밤 측이 폐지를 결정한 이유,설리 ㅉㅉㅉ,none,hate,설리 쓰바쿠
박유천 추정 SNS 박유천 맞았다 출소 4일만 개설 팔로잉은 박유환 뿐,어차피 별로 반성하고싶은맘 없는듯..며칠전에도 팬들이 선물보내줬다고 잔뜩쌓아놓고 인증하던데 ㅋㅋㅋ저놈은그냥 구제불능,none,hate,어쨌든 나는 그것을 별로 반성하고 싶지 않았다. 며칠 전 선물을 보냈다며 많은 팬들에게 인증을 받았지만 그저 그를 구할 수 없었다.
하나뿐인 내편 유이 vs 윤진이 맞붙었다 32 6 로 자체 최고,윤진이 머리길면. 완전 짱인데,none,none,윤진의 머리카락이 길다면 가득하다.
이용진 향한 자이언트 핑크의 공개고백 팬심인 걸로,나라면 자핑이랑 사귐,none,none,"내가 당신이었다면, 나는 재핀과 나갈 것이다"
일억개의 별 서인국 정소민 처음부터 마지막까지 함께였다.,이럴줄알았다 드라마시작되기전에는 그렇게 군대얘기하더니 끝날때되니까 호평밖에없네정상적으로 군대가는남자들만 바보만드네이게 개돼지와 다를게뭐냐,none,hate,"드라마가 시작되기 전에 이렇게 될 줄 알았는데, 끝나면 정상적으로 군대에 가는 사람만이 돼지와 다르다고 생각했다."
대본 찢어온 김혜자 이병헌 이민정 감사 눈부신 말말말,정우성 대박 너무 너무 행복했어요,none,none,정우성은 정말 행복했다.
산이 SBS 뉴스에 경고 마녀사냥 적당히 해 법적대응할 것,네생각이 맞고 사람들에게 네이론을 주장하고 사회도 바꾸고 싶고...입으로 바꿀려고 하지말고 차라리봉사활동이나 하지 그러니?시간도 많은거 같은데 그게더 설득력있어보여,none,hate,마음을 바꾸고 사람들과 다투고 사회를 바꾸려는 대신 봉사활동을 하는 게 어때? 시간이 많다고 생각하지만 좀 더 설득력이 있어 보인다.
이던 계약해지 43kg 체중 현아의 모든 것이 핫이슈,여자들은 반성해라 60넘는 돼지들이여,gender,hate,여성들은 반성하기 위해 60마리가 넘는 돼지다
현아 이던 열애공개 독됐나 트리플H 스케줄 전면취소,"남들과 다른 통장들고, 사생활은 평범하고 싶다....연예인으로 살겠다고 마음먹고 연습생 시작한 그순간부터 평범한 삶은 포기해야겠다는 생각 못해봤나요?",none,none,나는 다른 은행 계좌가 있고 사생활에서 정상이 되고 싶다 연예인으로 살기로 한 순간부터 정상적인 삶을 포기하고 연습생을 시작해야 한다는 생각을 한 적이 있었나요?
전참시 첫 MT 이영자 맛집에 환호 논란 강현석은 통편집,강현석이 잘못했지만 친구도 잘한거 하나없다,none,none,강현석은 잘못했지만 친구가 잘하지 못했다.
신과함께2 이정재 염라언니 내가 이런 역할까지 하다니,니 아부지가 염라언니였어 ㅍㅎㅎ,none,none,네 아버지는 유마라의 여동생이었다
사실무근 SKY캐슬 측 위올라이 표절설 부인 여전히 핫,비슷하긴 한데 너무 재밌어서 그건 관심도 없다 ㅋ 언능 토요일이여 오라!!,none,none,비슷하지만 관심이 없을 정도로 재미있다. 토요일에 연설하러 와!
조우종 프리 4년만에 친정 KBS 복귀 FM대행진 새DJ 됐다.,fm대행진은 kbs아나운서들만 하는줄알았는데..,none,none,나는 그 FM 행진이 단순히 KB 아나운서들을 위한 것이라고 생각했다
알함브라궁전의 추억 현빈 말없이 그라나다 떠났다 박신혜 폭풍눈물,남친보다 재미없나 시쳥률이 7%대 주말편성까지 좋은데 얘네는 남친 머리채 안잡으면 안되던데 아직까지 결과는 남친이군,none,none,네 남자친구보다 재미있지 않니? 주말까지는 시험률이 7%까지 좋지만 남자친구의 머리를 잡아서는 안 됐어야 했지만 결과는 여전히 남자 친구다.
AOA 지민 앙상한 몸매 건강이상설 직접 해명 건강합니다.,"본인은 건강하다 하겠지~기초체력 테스트 한번 해볼까?근육량 미달에,저체중에,저혈압에,팔굽혀펴기 1개는 제대로 합니까?",others,hate,건강하시겠습니까? 기본적인 신체검사를 하자. 근육량이 떨어지고 체중이 낮고 혈압이 낮아 한쪽 팔이 제대로 구부러지는가?
정글의법칙 조작의혹 강력 조치 이열음 보호 약속,김병만씨가 제일 불쌍하내요,none,none,김병만 씨가 가장 비참하다.
송지아 어느새 엄마 옷 자주 입는 숙녀 문득 잘 커준 네가 고마워,지아는 어린 아이일때도 차분하고 성숙하더니 가정사 시끄러웠어도 그대로 잘큰듯~ 엄마에겐 딸이 평생친구인데 얼마나 이쁠까^^~,none,none,"지아는 어렸을 때 침착하고 성숙했고, 집에서 시끄러웠음에도 불구하고 자신만큼 큰 나이였고, 평생 얼마나 귀여운지 알 수 있었다."
주상욱 차예련 딸과 함께 행복한 가족사진 눈에서 꿀이 뚝뚝,차예련 정말 예쁘다고 생각했는데 미우새에 나온거보니까 머리스타일 문제인지; 드라마에서 봤던 내가 아는모습과 뭔가 묘하게 덜 이뻐보이는것 같던데,none,none,"차예련이 정말 예쁘다고 생각했는데 미우세에서 나왔기 때문에 헤어스타일 문제인 줄 알았는데, 드라마 속에서 뭔가 알고 있었는데 아주 예뻐 보이지 않는다는 생각이 들었다."
골목식당 신흥시장 변화 이끈 백종원의 진심,저는 원테이블 응원합니다.욕먹고 힘들어도 조언을 잘 받아들이고해내려는 모습이 아름다워요잘될겁니다. 화이팅!!,none,none,나는 한 테이블을 응원하고 있다 맹세하기 어려워도 잘 받아들이고 조언을 잘 하는 것이 아름답다. 화이트!
안재현과 이혼 갈등 구혜선 반려견과 여유로운 일상 공개 다시 시작,안재현 댓글부대 쩐다ㅋㅋ역시 소속사가 있어야대하나같이 논리적인말은 없고 구혜선 또라이라고 같은말만 도배 해놨네 댓글부대들 분발해 너무티나~~~~~~,others,hate,"안재현의 댓글 단위에는 소속사가 있어야 한다는 논리적인 말이 없고, 구혜선과 똑같은 말만 했을 뿐이다. 그 댓글 부대들은 너무 화가 났다"
박유천 마약 혐의 시인 추가자백 가족 보기 괴로워 풀려나고파,갑분싸 동정여론 뭐냐 ㅋㅋㅋㅋㅋㅋ 전국민을 기만한 놈인데 죽어도 싸지,others,hate,열심히 일하는 공감대는 그가 전국에 사기꾼이지만 죽는 것은 싸다.
유병재 매니저 서로 말 안한지 2년 됐다 요즘 도티랑 일해 서먹,사이 안좋으면 안좋을 수도 있지 안 맞으면 다들 바뀌고 갈라서고 하는거 아님? 매니저 눈치봐야 돼? 일부러 갑질하는게 아니면 뭔 문제라고? 하고 왔는데 장난을 기사화?,none,hate,좋지 않으면 안 좋을 수도 있지만 안 되면 모두가 바뀌고 헤어질 거야? 매니저를 만나야 하나요? 고의로 학대하지 않는다면 문제가 있나요? 너 무슨 일이야?
전현무 올해의 예능인상 더 겸손한 MBC 아들 될 것,한혜진은 상타며 전현무와 함께 하고 싶다던데 ᆢ전현무는 언급없네ᆢ그나저나 KBS 대상은 김제동 맞나?,none,hate,한혜진은 자신이 언급하지 않았다는 전현무와 함께 뛰고 싶다고 했지만 김제동이 KBS의 대상이라고 말했다.
워너원 조작 멤버 1명 프듀 안PD 김CP 대담한 전 시즌 조작,뉴이스트때문에 모종의 거래가 있었던건 아닐까..ㄱㅈㅎ 없이 활동 못하니까.프듀 끝나고 ㄱㅈㅎ 예능 프로 많이 밀어준 느낌 받았는데 보상같은건 아닐지.,none,hate,뉴이스트 때문에 어떤 거래가 있지 않나요? 나는 그것 없이는 일할 수 없었다 제작 후에는 많은 예능 프로그램을 밀어붙인 느낌이 들었지만 보상이 될 수도 있다.
동백꽃 필 무렵 흥식이 아빠 까불이,이랬는데 범인 강하늘,none,none,이것이 범죄자의 강한 하늘이다
이민호 측근 수지와 재결합 NO 다시 친구로 지내는중,수지는 참 애가 보는 눈이 참 없네 ㅋㅋ 뭐가 아쉽다고 이민호 같은 애랑 ㅋㅋ 에휴 니도 하~~~~~~~~아안참 멀었다 아직,none,none,수지는 그녀를 잘 보지 못한다 안타깝게도 이민호와 이치 니도 하~~~ 아주 멀리 떨어져 있습니다. 여전히
FNC AOA 민아 탈퇴 지민 설현 유나 혜정 찬미 재계약,aoa가 걸그룹으로 가치고 있음? ㅋㅋㅋ요즘 아이돌은 20살만 넘어도 늙은거임 ㅋㅋㅋ 아이즈원 장원영 안유진 ITZY 유나같은애들 봐라 17살이니까 존나쩔지 ㅋㅋㅋ여자는 무조건 어린게 최고임,gender,hate,"아오아가 걸그룹 가치가 있다고 생각해요? 요즘 아이돌은 IZY 유나, 안유진, 장원영, 아이즈Y 등 17살짜리 아이들을 보며 20살이 넘는 노인이다. 여성들이 무조건 젊어지는 것이 가장 좋은 일이다"
팬심 마저 등 돌린 이태임의 자충수,예원이가 불쌍하다... 둘다잘못했는데 하나는 피해자인척 방송에나와해명하고 활동하고 하나는 활동자체를 못하고있다니,none,hate,"예원은 가난하다. 두 사람 모두 잘못됐지만 한 사람이 해명하고 방송에서 활동했고, 그 중 하나가 활발하지 않았다."
안녕하세요 95kg 52kg 독한 다이어트로 43kg 감량한 언니,돼지뱐태 천생 아줌마 지 어미 닮아 돼지년이지 뭐‼️‼️‼️,gender,hate,그녀는 돼지고기 엄마 같다 얼마나 혼란스러운지
씨잼 대마초 흡연 사실 시인 동료 래퍼 프로듀서도 검거,내가알기론 탑이랑지드래곤은 검찰송치까지 안된걸로알고있는데,none,none,제가 아는 바로는 정상과 용이 검찰에 송치되지 않았습니다.
오윤아 아들 발달장애 죄스러운 마음으로 살고 있다.,이 누나도 늙네...,others,none,그녀도 나이가 들었다
나혼자산다 박정민 기안84 팬 새 웹툰은 못 봐 폭소,솔직히 기안84가 더 잘생겼다. 그치만 박정민 배우가 좋다. 왜일까. 그저 자기일에 충실하고 묵묵히 뭐든지 스스로 하는 모습이 은근 매력있다.,none,none,솔직히 기안84는 더 잘생겼다 그러나 박정민은 좋은 배우다. 왜? 일에 충실하고 침묵 속에서 무엇이든 하는 것이 매력적일 뿐이다.
의연하자 이상민 사기 혐의 피소에 동료 연예인들이 보인 반응,어쩐지 그 많은 빚을 2년만에 갚더니..사달이 났네..,none,none,어떻게든 나는 2년 만에 그 많은 빚을 갚았다 4개월이 지났다
성추문 아내 폭행설 또 논란 김흥국의 아쉬운 행보,인정하세요.김흥국 나빴음,none,hate,인정해. 김흥국의 악재
서경덕 교수 BTS 방송취소 일 최악 자충수 많이 쫄았구나 직격탄,일본 싫어하면서 일본AV는 ㅈㄴ 좋아하지? 역시 미개한 한국남자들,gender,hate,일본을 좋아하지 않을 때 일본 AV를 좋아해요? 한국인 남자들도
9일만 100여명 아이스버킷 션이 쏘아올린 작은 기적,"실제 기부하고서 저런 생쇼를 한다면 인정은 하겠지만, 그렇지 않다면 루게릭병을 지들 관심 인맥 홍보수단으로 활용하는 모습 보기 안좋네요",none,hate,실제로 그런 라이브쇼를 기부하고 하면 인정하겠지만 그렇지 않으면 루게릭병을 홍보 수단으로 쓰는 것이 좋지 않다.
마약 투약 혐의 차주혁 구속영장 발부,정말 궁금한게 이친구가 뭐라고 오늘 하루 종일 실검 1위에 올려 놓으신건가요?? 국회 유치원 보류때문인가요? 김태우 사건으로 청와대 오더인가요??,others,hate,당신 친구가 정말 궁금한 건 무엇인가요? 하루 종일 그를 점검에 올렸어요. 국회에서 유치원이 정지된 탓인가요? 김태우가 청와대 주인인가요?
김정현 건강 문제로 시간 하차 확정 치료 회복 전념,윤두준처럼 무책임하네,none,hate,너는 윤두준처럼 무책임하다
소이현 인교진 딸 하은과 등산 신난다.,엄마가 예뻐서 아가들도 예뻐요,none,none,우리 엄마는 예쁘고 아이들은 예쁘다
현아 이던 싸이와 계약 태국여행 중 리얼 커플의 욜로 일상,싼티 줄줄,none,hate,산티 라인
안재현 구혜선 측 여러 문제로 결혼 생활 유지 불가 상의 끝 이혼 결정,안재현 화이팅!! 딱보이드라..신혼일기 보면서..잘생각했어 이혼하고 꽃길 걷길~,none,none,안재현 화이팅! 새해 일기를 보면서. 나는 좋고 이혼하고 꽃길을 걷는 게 좋다고 생각했다.
결혼식 대신 연주회 하림 영화 같은 결혼 발표 쏟아지는 응원,팬입니다! 축하합니다! 멋진 결혼식이네요~^^,none,none,난 팬이야! 축하해! 멋진 결혼식이야.^^
친자 확인완료 SKY캐슬 염정아VS김보라 전쟁 시작,김보라 이쁘네,none,none,김보라는 귀엽다.
최율 조재현 성추행 의혹 폭로 소속사 상황 파악 중,이건 뭐 하는 년이지 생전 처음 들어보는데 검색해보니 최근 활동도 없던데 이때 이름 좀 알리려는건가,none,hate,내 인생에서 처음으로 이런 일을 찾고 있는데 요즘 아무 일도 하지 않았는데 이 시점에서 이름을 알려주려고 하는 건가?
알함브라 궁전 민진웅 시신발견 사이버 좀비 부활 현빈 눈물,ㅋㅋㅋ 드라마 ㅆ노잼.좀비들 퀄리티 무엇?ㅋㅋㅋ 다신안본다.,none,none,음. 쓰노 잠 좀비의 질은 어떤가요? 다시는 볼 수 없을 거야.
양준혁 성스캔들 의혹 숨겨진 본성 폭로글 일파만파,여자 입은 오랄하라고 있는건디...,gender,hate,너는 여자 드레스를 입으려고 노력하고 있어.
SKY캐슬 조미녀 케이 남 아닌 녀 캐릭터 위해 18kg 증량,여기 ㅈㄴ웃긴 게 비난하는 욕도 없고 그냥 18키로 찌우다니 대단하다란글밖에 없는데댓글이 찔리는 건지 누가봐도 여자라 그러네그러니까 안 먹어도 되는 욕을 먹는 거다 페미들아,gender,hate,"이곳에서 웃기고 있다고 책임질 필요가 없고, 18㎞ 정도 되는 나이에 불과하다는 게 놀랍다. 범위에 불과하지만 여자라서 먹을 수가 없다. 여성주의자"
토니안 어머니 박은혜에 강단 있어 이혼한 것 며느리 삼고 싶다.,두분 기대해도 될까요?^^,none,none,너희 둘 다 기대할 수 있어?^^
전참시 라미란X매니저 비즈니스 자매 이승윤 복면가왕 도전 대성공,이승윤 왜이리 띄워주는지... 한번 나오면 됐지... 넘 자주 나오네,none,none,왜 이승윤을 내보내는 거야. 한번 나와도 돼 넌 항상 밖으로 나와
하나뿐인 내편 윤진이 유이 아버지 내 아버지를 죽인 사람,Mbc 주말 드라마 다시했으면 ㅠㅠ,none,none,Mbc의 주말 드라마가 다시 연기됐으면 좋겠다
스티븐 호킹 별세 미드 빅뱅이론 추모한 이유,장애인 스티븐 호킹박사보다 일베충들의 행복지수가 더 높다.,others,hate,장애인 스티븐 호킹 박사보다 일베정의 행복지수가 높다.
원래 이렇게 예뻤나 박나래 사진발로 설명 안 되는 꽃미모,뭐가 설명이 안되? 뷰티 보정요~,others,hate,뭐라고 설명할 수 없니? 뷰티 교정
