title,new title,papago title,google title,pororo title
"""[종합] """"삭발 완료""""…'두데' 김인석, 약속도 화끈하게 지키는 남자""",삭발 완료 두데 김인석 약속도 화끈하게 지키는 남자,나 삭발했어. 저는 김인석의 약속을 지키는 남자입니다.,"Shavales에 의해 지배, 김부석 약속,",좋은 면도로 김인석의 약속을 지키는 남자
"""[종합] “올해 초 교제 여성과 재혼” 오만석, 싱글대디→새출발 (전문)""",올해 초 교제 여성과 재혼 오만석 싱글대디 새출발,5만 석의 싱글 아빠에게 새로운 출발은 올해 초 한 여성과 재혼했다.,단일 대디 발 싱글 아빠 발,올해 초 한 여자와 데이트하는 싱글 아빠의 새로운 시작
"""'배가본드' 배수지, 이승기 죽음에 '오열'…이승기 살아서 지켜봤다""",배가본드 배수지 이승기 죽음에 오열 이승기 살아서 지켜봤다.,이승기 Baegabond 배용준은 수지의 죽음에 그가 살 봤다 흐느끼며 말했다.,본드 본드 본드 (Bond Bond Bond Bond Bond) 이승기를 본다.,배가본드 배수지 이승기의 죽음에서 그를 살아 보았다.
"""[SS이슈]김미화, 평창올림픽 개막식 중계 논란 '신선VS부적절'""",김미화 평창올림픽 개막식 중계 논란 신선VS부적절,김미화의 평창올림픽 개막식 중계 논란이 신선 vs 부적절하다.,김 MI-HWA 평창 올림픽 개회식 릴레이 논쟁 신선한 릴레이,김미화 평창올림픽 개막식 방송 논란
"""홍자, 지역 비하 논란 사과..""""진심 사과, 반성""""[전문]""",홍자 지역 비하 논란 사과 진심 사과 반성,Hongja에 대한 논란 지역을 사과하다,Postal Contoversy 사과 사과 사과,적지대 비하 논란에 대한 진지한 사과
"""[종합] """"부모님 스트레스多""""…'편스토랑' 이혜성, ♥전현무와 공개 열애 고충 고백""",부모님 스트레스다 편스토랑 이혜성 전현무와 공개 열애 고충 고백,그것은 부모님에게 스트레스입니다. 편안한 레스토랑 혜성과 전현무. 불륜을 고백하는 거.,부모님 스트레스 배포 영역 Lee Hye Sung,"스트레스를 받은 편의점 이혜성, 전현무, 공공 로맨스 고백"
"""'아스달 연대기' 장동건-김옥빈, 들끓는 '욕망커플'→눈물범벅 '칼끝 대립'""",아스달 연대기 장동건 김옥빈 들끓는 욕망커플 눈물범벅 칼끝 대립,,Ascal Chronicles 장동군 김동기,장동군과 아스달연대 김옥빈의 대결
"""허안나, 예비신랑♥과 행복한 웨딩사진..""""술 마시다 고백""""[종합]""",허안나 예비신랑 과 행복한 웨딩사진 술 마시다 고백,허안나의 신랑으로 축하합니다 결혼 사진.고백 음주 중.,일어나거나 예비적인 신랑과 행복한 웨딩 사진,허안나의 신부와 행복한 결혼사진 고백
[종합IS] 서유리♥최병길 결혼 발표…최초 공개 쏟아진 '비스',서유리 최병길 결혼 발표 최초 공개 쏟아진 비스,서 유리와 최 씨 Byunggil의 결혼식 발표.변했고 쏟아지는.,서양식 결혼 발표,서유리의 결혼식을 발표하는 첫 공식 예배
"""[SC무비] 이승기X심은경 `궁합` 100만 돌파 """"로맨스 잔혹사 끊었다""""""",이승기X심은경 궁합 100만 돌파 로맨스 잔혹사 끊었다.,이승기 X심 1백만 호환성에 대한 로맨스의 잔혹성을 깼다.,이승기 X Shim Eun-Kyung 호환 1 백만명의 로맨스 로맨스가 부러졌습니다.,심은경 이승기가 총 100만 명의 로맨스 잔혹한 역사를 끊었다.
"""‘짠내투어’ 박나래, 베테랑 여행설계자→1년 반만 하차 ‘쏟아지는 아쉬움’(종합)[Oh!쎈 이슈]""",짠내투어 박나래 베테랑 여행설계자 1년 반만 하차 쏟아지는 아쉬움,솔트투어 베테랑 여행디자이너 박나래가 중도 하차한 것은 1년 6개월에 불과했다.,Nippon Tours Bonnari 베테랑 여행 디자이너 1 년 및 쏟아지는,베테랑의 짠 투어 디자이너 박나래가 나온 지 1년 반 만이다.
"""""""속도위반, 아니에요""""…김민영♥서주원, 이상형→결혼 '성공한 팬' [종합]""",속도위반 아니에요 김민영 서주원 이상형 결혼 성공한 팬,"속도가 안 나요. 김민영, 서주원. 결혼에 성공한 팬.",속도 위반이 아닙니다.,속도 위반이 아니다. 김민영 서주원의 이상적인 결혼 팬
"""[룩@차이나] 中관계자 """"판빙빙, 조사받고 귀가한 지 한참 됐다""""""",중관계자 판빙빙 조사받고 귀가한 지 한참 됐다.,중간 간부 판빙빙의 조사를 받고 귀국한 지 오래다.,나는 공무원을 조사한 사람이 조사했습니다.,무거운 공식 판빙빙에게 조사를 받고 귀가한 지 오래다.
"""“안경 벗으면 차은우야”…‘한끼줍쇼’ 이경규, 성형 수술 후 자신감 [간밤TV]""",안경 벗으면 차은우야 한끼줍쇼 이경규 성형 수술 후 자신감,차은우야 안경 벗으면 밥 먹자! 성형수술 후 이경규의 자신감.,"당신이 당신의 안경을 벗으면, 당신은",안경을 벗을 때 이경규의 성형 수술과 차은우에 대한 자신감
"""""""누구냐, 말도 안돼""""..신동, 31kg 감량 성공→아이돌st 증명사진 공개 [종합]""",누구냐 말도 안돼 신동 31kg 감량 성공 아이돌st 증명사진 공개,누구세요? 신동이가 31kg을 감량하다니. 증명사진 공개.,누가 아니야?,31㎏의 능력을 갖춘 성공한 아이돌의 사진을 공개하는 것은 어처구니없다
"""[SC이슈]""""11일 정상녹화"""" '나혼자산다' 전현무·한혜진 빠진 후폭풍 극복할까(종합)""",11일 정상녹화 나혼자산다 전현무 한혜진 빠진 후폭풍 극복할까,전현무와 한혜진이 11일 정상녹화의 후폭풍을 이겨낼 수 있을까.,11th 정상 녹음 나는 결혼했다.,지난 11일 혼자 사는 한혜진 전현무의 여파를 극복하고 싶으신가요?
"""[단독] 전지현, 4년 만에 스크린 컴백 가시권... 최동훈 감독 신작 마지막 조율""",전지현 4년 만에 스크린 컴백 가시권 최동훈 감독 신작 마지막 조율,"전지현의 스크린 컴백 4년, 최동훈의 마지막 코디.","Shin-Dong-Hoon, 스크린 컴백 목사","최동훈 스크린 컴백 비주얼 감독, 4년 만에 전지현 감독"
"""“키스신 보고 맥주 드링킹”…김소연♥이상우, 알콩달콩 #럽스타그램""",키스신 보고 맥주 드링킹 김소연 이상우 알콩달콩 럽스타그램,키스신을 보고 나서 맥주를 마신다. 이상우 님 사랑스런 도비 인스타그램.,키스 신의 시계 맥주 김담 김수우우 우우 알롱 콩,"김소연, 이상우, 키스신, 맥주 음료수 알콘달롱 업스타그램"
"""안재현 구혜선 측 """"여러 문제로 결혼 생활 유지 불가, 상의 끝 이혼 결정"""" [공식입장]""",안재현 구혜선 측 여러 문제로 결혼 생활 유지 불가 상의 끝 이혼 결정,안재현과 구혜선은 여러 가지 문제로 결혼 생활이 유지되지 않자 이혼을 결정했다.,안재현,안재현 구혜선이 잇따른 문제 끝에 이혼 결정을 내렸다.
"""‘아육대’ 측 “츄 머리카락 잡은 무례 범해, 사과문=사칭” 공식 사과(전문)""",아육대 측 츄 머리카락 잡은 무례 범해 사과문 사칭 공식 사과,추의 머리카락을 집는 데 아이돌 스타 육상 선수권 대회 공식 사과다.,머리의 머리의 머리,어린이집에서 추씨의 머리카락에 걸린 무례한 사과를 사칭하는 공식 사과
"""박한별 남편 실명공개 유인석, 경찰총장과 직접적 관계 확인""",박한별 남편 실명공개 유인석 경찰총장과 직접적 관계 확인,박한별 남편의 실명을 폭로하는 유인석 경찰서장과의 직접적인 인연을 확인한다.,경찰과 직접적인 관계를 확인하십시오,박한별 남편의 실명인 유인석 경찰청장과의 직접적인 관계
"""BTS 뷔, 폭풍 친화력 어디까지?…이순재부터 할리우드 배우까지 다양""",BTS 뷔 폭풍 친화력 어디까지 이순재부터 할리우드 배우까지 다양,BTS 5세의 사회적 기술 리 Soonjae 할리우드 배우들에게 이르기까지 다양하다.,BTS Varcanvous 우정에 할리우드 배우,이순재부터 할리우드 배우들까지 방탄소년단의 V 폭풍이 우호적인 곳까지
"""'미우새', 김종국♥홍진영 수영장 데이트에 최고 시청률 20.7%""",미우새 김종국 홍진영 수영장 데이트에 최고 시청률 20 7,미우새 김종국 홍진영의 수영장 데이트 시청률이 207로 가장 높다.,키위 새 김정국 홍진영의 수영장 데이트 20 7,미우세 김종국의 홍진영 풀 데이트에서 가장 좋은 시청률 207을 기록했다.
"""""""저 아니에요""""…최은경, 신종 코로나 확진자 루머→직접 해명 (전문)[종합]""",저 아니에요 최은경 신종 코로나 확진자 루머 직접 해명,"내가 아니야. 최은경, COVID-19 확진자 루머에 대해 설명해 주세요.",그것은 나 아니다.,내가 아니야. 최은경의 새로운 코로나 확인설
[★밤TView]'복면가왕' 이미쉘·이현경·나영·주병진 반전 존재감,복면가왕 이미쉘 이현경 나영 주병진 반전 존재감,"복면가왕 이미셸, 이현경, 나영, 주병진. 예상치 못한 존재.",가면 Kwang Kihel Lee Hyun Kyung.,"마스크왕 이현경, 나영, 주병진의 역전"
"""[Oh!쎈리뷰]'연예가중계' 이지혜 """"현재 임신中, 최초 공개""""""",연예가중계 이지혜 현재 임신중 최초 공개,반면 임신한 엔터테인먼트 위클리 리 지혜 처음 들어이다.,Entertainment Reverse Lee Ji Hye의 현재 임신,연예인 방송인 이지혜가 임신 중 처음으로 공개되는 모습이다.
"""'韓 방송 겸업' 서동주 """"美 변호사 계속 할 것, 얼마나 고생했는데"""" (전문)[종합]""",한 방송 겸업 서동주 미 변호사 계속 할 것 얼마나 고생했는데,서동주 미국 변호사는 정말 열심히 일했습니다.,Seo Dong-Ju의 참석자를 계속 지속적으로 계속 지속적으로 계속 지속적으로 열심히 할 것인가?,방송을 이어가며 서동주 변호사를 일하는 게 힘들었다.
"""""""아시아의 호랑이""""…류준열→권혁수, 아시안게임 축구 金에 '감격' [종합]""",아시아의 호랑이 류준열 권혁수 아시안게임 축구 金에 감격,아시아 호랑이 류준열과 권혁수가 아시안게임에서 축구를 하며 감격스러워하고 있다.,아시아의 호랑이 류 브리톨 칸 Hyuk Soo 아시아 게임 축구,아시아 호랑이 류준열 권혁수의 축구 돈
"""""""20억은 와전"""" 마이크로닷 큰아버지도 보증빚..'공소시효 남았다'(종합)[Oh!쎈 이슈]""",20억은 와전 마이크로닷 큰아버지도 보증빚 공소시효 남았다.,마이크로닷 삼촌에게도 보증채무 공소시효 20억원이 남았다.,"20 억, 그리고 마이크로 도트, 아버지,",와이전 마이크로닷의 장남은 물론 보증채무 공소시효가 20억원 남았다.
"""'공복자들' 이수진 치과의사 """"51세..큰딸 18세"""" 믿기힘든 동안미모""",공복자들 이수진 치과의사 51세 큰딸 18세 믿기힘든 동안미모,"배 고픈 이 대통령은 민수도, 치과 의사, 51살, 첫째 딸, 18, 놀라운 젊게 보이다.","박제 치과 의사 51 세 딸 18 세,",이수진 치과의사의 장녀 51세가 18세였다.
"""'할리우드 1세대' 오순택 별세…""""편히 잠드소서"""" 추모 물결 [종합]""",할리우드 1세대 오순택 별세 편히 잠드소서 추모 물결,"""할리우드의 1세대 오순택, 편히 잠드소서."" 추모 물결.",할리우드 1 세대 오시민 파도,할리우드 1세대 오순택이 편안한 수면과 추모파 속에서 사망했다.
"""[SW시선] 주진모 향한 조롱, 위기 극복 할까?""",주진모 향한 조롱 위기 극복 할까,우리는 Jinmo에 대한를 조롱하는 위기를 극복할까요?,나는 주요 선행에 대한 조롱을 극복 할 것이다,주진모를 상대로 한 모의적 위기를 극복할 수 있을까요?
"""강한나·오혜원, 연극 관람 태도 논란→릴레이 사과…""""매너 숙지하고 반성""""[종합]""",강한나 오혜원 연극 관람 태도 논란 릴레이 사과 매너 숙지하고 반성,극을 보는 강한나와 오혜원의 모습이 담겼다. 사과하다 자신을 익히고 반성하세요.,강력하고 omo-hee 연극보기 태도 논쟁의 여지 릴레이 애플 매너와 반사,"연극을 지켜보는 오혜원의 태도, 릴레이 사과 예절과 반성에 익숙한 강한나."
"""[SC초점] '연락두절' 오달수·'미국行' 조근현, 성추문 언제쯤 입 열까?""",연락두절 오달수 미국행 조근현 성추문 언제쯤 입 열까,"터치 오 Dal-soo 중에서, 그는 미국으로 조 씨 Geun-hyun의 성 추문 사건을 문 여나요?",미국에 문의하십시오,조근현이 미국으로 가는 길에 언제 조용히 있을까.
"""'미우새' 배기성 12세 연하 아내, 세계 음식 대접..금손 자랑""",미우새 배기성 12세 연하 아내 세계 음식 대접 금손 자랑,12살 연하의 배기성 할머니가 세계 음식을 대접하는 황금손 솜씨를 뽐내고 있다.,Miwub의 12 세 아내 아내 세계 음식,세계 음식을 자랑하는 그의 아내 배기성(12)씨
"""[공식 전문]'디스패치' 측 """"장나라·김남길 결혼 기사? 보도NO 조작된 것""""""",디스패치 측 장나라 김남길 결혼 기사 보도NO 조작된 것,디스패치의 장나라는 김 남 길 결혼 기사 보고 조작된 것이었다.,Dispatch Side Dynasty Kim Nam-Gil 결혼 기사 없음,김남길 장나라 디스패치의 결혼 기사 조작
"""[종합]""""2번 폭로→2번 사과"""" '의료사고' 한예슬의 고통 vs차병원의 약속""",2번 폭로 2번 사과 의료사고 한예슬의 고통 vs차병원의 약속,2. 노출. 2. 사과. 의료 사고. 한예슬의 아픔 vs. 차병원 공약.,2 인증 2 AVA 의료 사고,두 번째 노출에서 발생한 의료사고인 한예슬 차병원의 진통 대 약속
"""""""너무 사랑하고 아낀다""""…비♥김태희, 둘째 임신까지 '사랑꾼 부부'[종합]""",너무 사랑하고 아낀다 비 김태희 둘째 임신까지 사랑꾼 부부,"비와 김태희 당신을 많이 사랑하고 아껴요. 심지어 두 번째 임신도, 서로 사랑했던 커플.","너무 사랑 해요,",비김태희의 두 번째 임신을 사랑하고 구한 부부
"""'동상이몽2' 추자현♥우효광 """"아기 돌·결혼식 함께""""…눈물의 결혼식 예고""",동상이몽2 추자현 우효광 아기 돌 결혼식 함께 눈물의 결혼식 예고,"동상이몽2 추자현, 우혁왕 아기 아이돌 결혼식. 눈물을 흘리며 결혼 소식을 알립니다.",동상 리 몽 2 Chun Seo Yeo 착용 아기 돌 결혼식 결혼식 inso,추자현 우효광 2동상의 돌 결혼식과 함께 눈물의 결혼 통보
"""[SC이슈]""""소속사서 퇴출""""…현아♥이던, 열애 인정이 불러온 '후폭풍'(종합)""",소속사서 퇴출 현아 이던 열애 인정이 불러온 후폭풍,현아의 로맨틱한 관계의 여파.,에이전시,소속사와 그녀의 이탈 사이의 로맨틱한 관계의 여파
"""조인성 """"5년 전만 해도 교만..행복 뭔지 깨달았다""""[화보]""",조인성 5년 전만 해도 교만 행복 뭔지 깨달았다.,조인성이 자존심 행복 5년 전에 깨달았다.,Joe Inn 5 년 전 나는 내가 무엇을 행복했는지 깨달았습니다.,5년 전 조인성은 오만의 행복이 무엇인지 깨달았다.
"""'그것이 알고싶다' 故김성재 편, 방송 불가…""""명예훼손 우려""""[공식입장]""",그것이 알고싶다 고김성재 편 방송 불가 명예훼손 우려,우리는 그것이 무엇인지 알고 싶습니다. 故 김성재 편은 방송이 안 되고 명예훼손이 우려된다.,나는 그것이 호환성이라는 것을 알고 싶습니다,고김성재의 에피소드에 대한 명예훼손의 공포라는 것을 알고 싶다.
‘나혼자산다’ LA여행 중 한혜진♥전현무 비밀연애 포착,나혼자산다 LA여행 중 한혜진 전현무 비밀연애 포착,한 혜진 LA여행 중에 전 씨 Hyun-moo의 비밀 관계를 잡았다.,Hyeon Mountain Da La Travel Hye-Jin.,한혜진 전현무가 LA 혼자 여행을 떠나 비밀 연애 사건을 발견했다.
"""[★현장스케치]""""태양, 다시 만나요""""..청성부대 앞 배웅 팬들 운집""",태양 다시 만나요 청성부대 앞 배웅 팬들 운집,"다음에 또 봐요, 태양 씨. 청성부대 앞 배웅 장소에서 만나요.",나는 다시 태양을 만난다.,청성부대 앞에서 팬 모임인 태양에서 다시 만나요
"""폭행→상처→동영상..구하라, 진흙탕 싸움 조짐[종합]""",폭행 상처 동영상 구하라 진흙탕 싸움 조짐,폭행과 상처의 비디오 찾기.진흙 싸움의 징후는.,폭행 상처 비디오 가하라 진흙 싸움,폭행 동영상을 살리기 위해 진흙투쟁 조짐
[DA:리뷰] 오달수 “다 내 잘못”…A씨·엄지영 “변명 같지만 사과받아” (종합),오달수 다 내 잘못 A씨 엄지영 변명 같지만 사과받아,"오 달수야, 다 내 잘못이야. 그것은 A씨의 엄지손가락에 대한 변명처럼 들린다. 내 사과를 받아줘.",그것은 한 달에 걸쳐 있습니다.,오달수가 A씨를 핑계로 삼는 것 같지만 죄송합니다.
"""양세종 측 """"필로폰 투약 배우 양씨 아냐..현재 드라마 촬영 중"""" (공식)""",양세종 측 필로폰 투약 배우 양씨 아냐 현재 드라마 촬영 중,양세종의 필로폰 투약 배우 양씨. 그는 지금 드라마 촬영을 하고 있습니다.,"양, 종시 필로 부 복용 배우 양",양세종은 필로폰 배우가 아니다. 지금 드라마 촬영 중이야
"""""""故설리 부재 하에 지속 어려워""""…'악플의밤' 측이 폐지를 결정한 이유 [종합]""",고설리 부재 하에 지속 어려워 악플의밤 측이 폐지를 결정한 이유,악플의 밤이 폐지를 결정한 이유는 고설이 없는 상황에서 지속이 어려웠기 때문이다.,"왜 밤의 밤 쪽을 봤어,",악당의 밤이 폐지를 결정한 이유는 고설리 없이는 계속되기 어려웠기 때문이다.
"""박유천 추정 SNS, 박유천 맞았다..출소 4일만 개설 '팔로잉은 박유환 뿐'""",박유천 추정 SNS 박유천 맞았다 출소 4일만 개설 팔로잉은 박유환 뿐,박유천이 추정한 SNS는 박유천이었다. 그는 4일 동안만 석방되었다. 팔로워는 박유환이 유일하다.,박 유천 (Park Yoochun)은 SNS Park Yoo-Cheon이 옳았습니다.,"박유천이 SNS 박유천에게 맞은 것으로 추정됐고, 나흘 동안 문을 연 것은 박유환이 유일하다."
"""'하나뿐인 내편', 유이 vs 윤진이 맞붙었다...32.6%로 자체 최고""",하나뿐인 내편 유이 vs 윤진이 맞붙었다 32 6 로 자체 최고,나의 하나뿐인 Yui 대 Yunjin의 대결. 326은 그 자체로 최고입니다.,Yui vs Yoon Jin 만 32 6으로 조정했습니다.,내 편에 있는 유일한 이의 대 윤진이 스스로 가장 좋은 326을 맞이했다.
[종합] 이용진 향한 자이언트 핑크의 공개고백...팬心인 걸로,이용진 향한 자이언트 핑크의 공개고백 팬심인 걸로,이 대통령은 용진에게 자이언트 핑크의 공개적인 자백.,사용의 사용을 위해 거대한 분홍색의 공개 자백,이용진을 위한 자이언츠 핑크의 공개 고백 팬이다.
"""'일억개의 별' 서인국♥정소민, 처음부터 마지막까지 함께였다(종합)""",일억개의 별 서인국 정소민 처음부터 마지막까지 함께였다.,1억 스타의 멤버 정소민이 처음부터 끝까지 함께했다.,나는 정 Soo-min의 시작부터 함께있었습니다.,초반부터 1억 스타 서인국 정소민이 끝까지 모습을 드러냈다.
"""대본 찢어온 김혜자→이병헌 """"♥이민정 감사""""…눈부신 ★ 말말말 [백상예술대상]""",대본 찢어온 김혜자 이병헌 이민정 감사 눈부신 말말말,"김 혜자, 리 Byunghun, 이 대통령은 민정이는, 당신은 당신의 훌륭한 말을. 감사합니다.","김혜정 리 Byung Hun,","대본을 찢은 김혜자, 이병헌, 이민정을 향한 화려한 연설"
"""산이, SBS 뉴스에 경고 """"마녀사냥 적당히 해...법적대응할 것"""" [공식입장]""",산이 SBS 뉴스에 경고 마녀사냥 적당히 해 법적대응할 것,SBS뉴스에 산의 경고.사냥 마녀라.법적 대응.,SAN은 SBS 뉴스에 대한 경고입니다.,산씨가 SBS 뉴스에 경고 마녀사냥으로 법적 대응을 한 것이다.
이던♥→계약해지→43kg 체중..현아의 모든 것이 '핫이슈' (종합)[Oh!쎈 이슈],이던 계약해지 43kg 체중 현아의 모든 것이 핫이슈,E'Dawn은 계약을 해지했다. 43kg. 체중 현아의 모든 것이 화제입니다.,나는 43kg 무게의 계약을 맺었다,현아의 체중 43㎏ 계약 해지가 모두 뜨거운 문제다.
"""[Oh!쎈 이슈] 현아♥이던, 열애공개 독됐나…트리플H 스케줄 전면취소(종합)""",현아 이던 열애공개 독됐나 트리플H 스케줄 전면취소,,Hyeon-Ah는 열린 마음의 트리플 H 일정에 대한 욕구입니다.,3중 H 일정의 완전 취소
"""'전참시' 첫 MT, 이영자 맛집에 '환호'…논란 강현석은 '통편집'[종합]""",전참시 첫 MT 이영자 맛집에 환호 논란 강현석은 통편집,강현석이 이영자의 첫 엠티 레스토랑 응원 논란에 휩싸였다.,첫 번째 Mt Lee Young-Seok.,전시회 첫 MT 이영자 레스토랑을 응원하고 있는 강현석은 편집장 시인이다.
"""[Oh!커피 한 잔①] '신과함께2' 이정재 """"염라언니, 내가 이런 역할까지 하다니""""""",신과함께2 이정재 염라언니 내가 이런 역할까지 하다니,"제가 '신과함께2'에서 이정재, 염라 역을 맡았다니 믿기지 않아요.","하나님과 함께 2 명의 jungjae,","하나님과 함께 이정재, 염라, 이 역을 맡습니다."
"""[POP이슈]""""사실무근"""" 'SKY캐슬' 측 '위올라이' 표절설 부인→여전히 '핫'(종합)""",사실무근 SKY캐슬 측 위올라이 표절설 부인 여전히 핫,표절의 스카이 캐슬의 아내도 여전히 덥다.,"사실, 조상 하늘 성",SKY 캐슬의 실생활 표절이 여전히 뜨겁다.
"""[단독] 조우종, 프리 4년만에 친정 KBS 복귀 'FM대행진' 새DJ 됐다(종합)""",조우종 프리 4년만에 친정 KBS 복귀 FM대행진 새DJ 됐다.,조 씨 Woo-jong가 된 새로운 DJ4년 만에 그의 전 KBS복귀 FM사에 대하다.,KBS 로의 4 년간의 cowli 풍경은 새로운 DJ로 돌아온 FM을 반환했습니다.,조우종이 4년 만에 홈 KBS로 돌아와 새로운 DJ가 됐다.
"""'알함브라궁전의 추억' 현빈, 말없이 그라나다 떠났다..박신혜 폭풍눈물[종합]""",알함브라궁전의 추억 현빈 말없이 그라나다 떠났다 박신혜 폭풍눈물,알함브라 궁전의 추억. 현빈이는 아무 말도 없이 그라나다를 떠났습니다. 박신혜의 폭풍 눈물.,Alhambra Palace 추억 나는 말없이 그라나다를 떠났다,현빈은 알함브라스 궁전을 기억하며 아무 말도 하지 않고 떠났다. 박신혜의 폭풍우의 눈물
"""AOA 지민, 앙상한 몸매·건강이상설 직접 해명 """"건강합니다"""" [공식입장]""",AOA 지민 앙상한 몸매 건강이상설 직접 해명 건강합니다.,AOA 지민의 마른 몸매가 좋습니다.,AOA JI Min의 건강한 신체 건강한 상업 건강한 건강.,나는 AOA 지민의 강한 몸 건강 이상에 대해 스스로 설명하는 것이 건강하다.
[DA:이슈] ‘정글의법칙’ 조작의혹→강력 조치+이열음 보호 약속 (종합),정글의법칙 조작의혹 강력 조치 이열음 보호 약속,정글의 법칙의 조작에 대한 강력한 조치이다.약속해 소리를 보호한다.,정글의 코드 운영 인류 보호 임명,정글법 조작 의혹의 힘을 보호하겠다는 약속
"""송지아, 어느새 엄마 옷 자주 입는 숙녀..""""문득 잘 커준 네가 고마워""""""",송지아 어느새 엄마 옷 자주 입는 숙녀 문득 잘 커준 네가 고마워,"송 Jiah, 잘 종종 엄마의 옷을 입은 숙녀로 자라면서 감사합니다.",Song Ji-Ah 엄마의 옷 나는 종종 잘 착용하고 있습니다.,"당신 덕분에 송지아, 엄마 옷을 입은 여자와 함께 잘 자랐다."
"""주상욱♥차예련, 딸과 함께 행복한 가족사진..눈에서 꿀이 뚝뚝""",주상욱 차예련 딸과 함께 행복한 가족사진 눈에서 꿀이 뚝뚝,"주상욱, 차예련 딸과 행복한 가족사진이 펼쳐졌다. 그녀의 눈에서 꿀이 뚝뚝 떨어졌어요.",해변 수업 딸과 함께 행복 한 가족 눈에 꿀 꿀,주상욱의 딸 차예련과 함께 행복한 가족사진을 보는 눈빛에는 꿀이 날카로웠다.
[SS리뷰] '골목식당' 신흥시장 변화 이끈 백종원의 '진심',골목식당 신흥시장 변화 이끈 백종원의 진심,는 신흥 시장에서 골목 식당에서 변화를 이끌었어 백 종원이의 진실성이다.,앨리 레스토랑 신흥 시장 변경,백종원의 진정성이 골목식당 신흥시장의 변화를 이끌었다.
